"Timestamp","Questionnaire number","Community","   Interviewer","Date","Age","Gender","Level of Education","Occupation","Current employer","Household size","Number of years stayed in the community","Which of the following COVID-19 sanitation protocols are you familiar with?","Compliance with COVID-19 sanitation protocols has improved your sanitary habits.","COVID-19 encouraged compliance to/ brought about the enforcement of sanitation measures in your locality.","Have you or anyone in your family had diarrhoea since the COVID-19 pandemic?","Did you see any health campaigns or initiatives in your community that promoted good sanitation practices during the COVID-19 pandemic? ","Compliance with COVID-19 sanitation protocols has helped reduce the occurrence of diarrhoea-related diseases.","Have you or any member of your family experienced episodes of diarrhoea in the past six months?","How frequently have you or your family members experienced diarrhoea in the past six months?","Are you aware of any specific causes or triggers for diarrhoea? ","Have you sought medical assistance or treatment for diarrhoea episodes? ","If Yes, please specify the type of healthcare professional you consulted","Have you or any family members been hospitalized due to severe diarrhoea? ","Do you know anyone in your community or neighbourhood who has had diarrhoea-related diseases in the past year?","Have you or any family member received vaccinations or preventive measures against diarrhoea-related diseases?","What has been an extreme case experienced or known to have happened to anyone from diarrhoea-related disease?","Are you aware of any ongoing efforts or programs in your community to prevent or manage diarrhoea-related diseases?","If yes, please mention any","How knowledgeable do you consider yourself about the causes, prevention, and treatment of diarrhea-related diseases? 
1= Very knowledgeable, 2= Somewhat knowledgeable, 3= Not very knowlegeable, 4= Not knowledgeable at all","During COVID-19, diarrhoea-related diseases were not prevalent.","Washing your hands regularly with soap under running water can help reduce diarrhoea-related diseases.","Using alcohol-based hand sanitizer can help kill bacteria that cause diarrhoea-related diseases.","Do you think the COVID-19 sanitation protocol helped reduced the occurrence of diarrhoea-related diseases in your neighbourhood?","If Yes, can you mention some of the COVID-19 sanitation protocols?","Have you made any changes in your cleaning routines or hygiene practices at home due to the COVID-19 pandemic?","Have you seen any improvements in public restrooms or washroom facilities in terms of cleanliness since the COVID-19 pandemic? ","How do you dispose of waste after COVID-19?","Has the COVID-19 pandemic increased your awareness about the importance of sanitation in preventing diseases like diarrhoea? ","On a scale of 1-5, how well has the sanitation of your community improved after COVID-19?
1=Highly improved, 2=Improved, 3=No observable change, 4=Reduced sanitation, 5=Extremely reduced sanitation","Would you recommend strict adherence to some protocols to continue after the pandemic to prevent diarrhoea-related diseases?","Would you recommend continuing the campaign/education on COVID-19 protocols after the pandemic to prevent diarrhoea-related diseases?","What other recommendations would you give to improve sanitation practices in your community and prevent diarrhoea-related diseases in the future?"
"2023/07/19 11:27:07 AM GMT","002","Aboabo","Patrick ","07-19","21  - 30","Female","SHS","Filling station attendant ","Private Organization/Institution","1 -  5","1-10","Hand washing;Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","2","Strongly agree","Strongly agree","Strongly agree","Yes","Washing hand with soup under running water","Yes","No","Bin","Strongly agree","5","Yes","Yes","People should maintain high sanitation in household and the surrounding community "
"2023/07/19 11:30:03 AM GMT","1","Aboabo","Nana Aba","08-15","21  - 30","Female","JHS/Middle","Security- So fuel station","Private Organization/Institution","11-15","1-10","Hand washing","Strongly Agreee","","No","No","Yes","No","None","Contaminated food and water","Yes","Nurse","No","No","No","Not sure","No","","4","","Agree","Agree","Yes","","Yes","No","Anywhere","Agree","5","Yes","Yes",""
"2023/07/19 11:43:27 AM GMT","2","Aboabo","Nana Aba","03-22","21  - 30","Female","SHS","Makeup artist, hairdresser ","Self-employed","16-20","1-10","Hand washing;Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","None","Not sure","No","","No","No","No","Not sure","No","","4","Agree","Agree","Agree","Yes","Hand washing, sanitizer usage","Yes","Yes","Bin","","","","",""
"2023/07/19 11:49:26 AM GMT","003","Aboabo","Patrick ","07-19","21  - 30","Female","No formal education","Hair dresser ","Self-employed","1 -  5","1-10","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Strongly Agreee","Strongly Agree","No","No","Yes","No","None","Not sure","No","","No","No","No","Not sure","No","","4","Agree","Strongly agree","Strongly agree","Yes","Using hand sanitizer, washing hands","Yes","Yes","Bin","Agree","4","Yes","Yes","No"
"2023/07/19 11:49:49 AM GMT","3","Aboabo","Nana Aba","12-07","21  - 30","Female","SHS","Hairdresser","Self-employed","1 -  5","11-20","Hand washing;Use of hand sanitisers","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","3","Agree","Agree","Agree","Yes","Hand washing, using sanitizer","Yes","Yes","Bin","Strongly agree","1","Yes","Yes",""
"2023/07/19 12:01:14 PM GMT","006","Aboabo","Patrick","07-19","21  - 30","Female","No formal education","Hair dresser ","Self-employed","16-20","1-10","Hand washing;Use of hand sanitisers","Agree","Agree","No","No","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","4","Agree","Agree","Agree","Yes","Washing hands","No","No","Bin","Neutral","5","Yes","Yes",""
"2023/07/19 12:03:08 PM GMT","Pd1","Aboabo","Paul Damoah ","07-19","31 - 40","Female","No formal education","","Unemployed","1 -  5","1-10","Hand washing","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","None","Contaminated food and water","No","","No","No","Yes","Not sure","No","","3","Strongly agree","Strongly agree","Strongly agree","Yes","","Yes","Yes","Bin","Strongly agree","1","Yes","Yes","Continuous washing of hands and adherence to personal hygiene. "
"2023/07/19 12:15:21 PM GMT","4","Aboabo","Nana Aba","10-09","21  - 30","Female","SHS","Trader","Self-employed","16-20","1-10","None","Strongly Agreee","Strongly Agree","No","Yes","Yes","No","","Not sure","No","","No","No","Yes","Not sure","No","","4","Disagree","Strongly agree","Agree","Yes","","Yes","No","Bin","Agree","3","Yes","Yes",""
"2023/07/19 12:21:32 PM GMT","010","Aboabo","Patrick ","07-18","10 - 20","Female","Tertiary","Student ","Student","16-20","11-20","Hand washing;Use of hand sanitisers;Disinfection of surfaces","Agree","Strongly Disagree","No","No","Not sure","No","None","Contaminated food and water","No","","No","No","No","Not sure","No","","1","Strongly agree","Strongly agree","Strongly agree","Yes","Wearing nose mask, using hand sanitizer, washing hands with soup under running water","Yes","No","Bin","Agree","3","Yes","Yes","Environmental health officers should go around and enforce sanitation regulations, increase zoomlion workers in the community "
"2023/07/19 12:23:22 PM GMT","PBD2","Aboabo","","07-19","21  - 30","Female","SHS","Self employed ","Self-employed","1 -  5","21-30","Use of hand sanitisers","Strongly Agreee","Strongly Agree","Yes","Yes","Yes","No","None","Contaminated food and water","No","","No","No","No","Not sure","Yes","Manhyia Hospital Sanitation Programme ","1","Strongly agree","Strongly agree","Strongly agree","Yes","Use of sanitisers ","Yes","Yes","Bin","Strongly agree","1","Yes","Yes","Refuse damp must be quickly disposed off from the community. "
